person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age
,,,,,,,,,,
1.0,16:08:11.277283,,,,,,16:08:40.769783,,male,60+
2.0,16:08:11.863927,,,,,,,,female,40-59
3.0,16:08:12.375635,,,,,,,,male,20-39
4.0,16:08:12.898336,,,,,,16:10:16.223097,16:09:51.813279,male,60+
5.0,16:08:13.409042,,,,,,16:10:14.189262,16:10:13.220626,male,20-39
6.0,16:08:14.002703,,,,16:08:33.080846,16:09:11.177822,,,male,60+
7.0,16:08:14.661327,,,,,,,,male,60+
8.0,16:08:15.236996,,,,,,,,male,60+
9.0,16:08:15.764685,,16:08:33.094844,16:10:23.963712,,,,,female,60+
10.0,16:08:16.302389,,,,16:08:33.106812,16:09:02.703071,,,male,60+
11.0,16:08:16.840072,,,,16:08:33.116807,,,,female,60+
12.0,16:08:17.371786,,16:10:26.818077,,,,16:08:37.347099,16:08:38.840384,male,60+
13.0,16:08:17.908103,,,,,,,,male,60+
14.0,16:08:18.507760,,,,,,,,female,60+
15.0,16:08:19.104581,,16:08:33.130817,,,,,,female,60+
16.0,16:08:19.639276,,,,,,,,female,60+
17.0,16:08:20.399841,,,,,,16:09:45.166280,16:09:42.722694,female,20-39
18.0,16:08:20.941532,,,,,,16:09:33.026029,16:09:39.139507,male,60+
19.0,16:08:21.456236,,,,16:08:33.156783,,,,male,60+
20.0,16:08:22.002923,,16:08:33.168777,16:09:44.869433,,,16:10:29.564504,,male,60+
21.0,16:08:22.548610,,,,,,,,male,60+
22.0,16:08:23.086303,,,,,,,,male,20-39
23.0,16:08:23.623995,,,,,,,,male,60+
24.0,16:08:24.155691,,,,,,16:09:38.497873,16:10:26.493263,male,60+
25.0,16:08:24.698380,,,,16:08:33.182769,,,,male,60+
26.0,16:08:25.224083,16:10:08.799955,,,,,,,male,60+
27.0,16:08:26.019882,,,,,,,,female,60+
28.0,16:08:26.650521,,,,,,,,male,60+
29.0,16:08:27.170237,,,,,,,,female,60+
30.0,16:08:27.705916,,,,,,,,male,40-59
31.0,16:08:28.242787,16:09:46.034766,16:08:33.197761,,,,,,male,60+
32.0,16:08:28.777480,,,,,,,,female,60+
33.0,16:08:29.306178,16:09:45.667976,,,,,16:08:33.211753,,male,60+
34.0,16:08:29.837874,16:09:03.474897,,,,,,,male,20-39
35.0,16:08:30.390558,16:09:13.401563,,,,,,,male,60+
36.0,16:08:31.016198,,16:08:33.223747,16:10:18.495795,,,,,male,20-39
37.0,16:08:31.900693,16:10:02.020185,,,,,,,female,60+
38.0,16:08:32.482360,16:09:02.939934,,,,,,,female,60+
40.0,16:08:33.020864,16:09:56.136554,,,16:08:33.236739,,,,male,20-39
43.0,16:08:34.314122,,,,,,,,male,20-39
44.0,16:08:34.849814,,16:10:06.295079,,,,16:08:34.906783,16:08:54.863255,male,60+
46.0,16:08:36.231024,16:09:50.592756,,,,,,,male,60+
47.0,16:08:39.892285,16:09:44.466664,16:08:39.972242,16:09:16.665676,,,,,male,60+
48.0,16:08:40.698824,16:10:29.466561,,,,,,,male,20-39
51.0,16:08:42.346951,,,,,,16:08:42.432905,,female,60+
52.0,16:08:43.627223,,16:09:39.160494,,,,,,female,60+
56.0,16:08:45.478661,16:09:40.375037,16:08:47.836311,,,,,,male,60+
57.0,16:08:46.853873,,,,16:09:24.267766,16:09:38.520861,,,female,60+
58.0,16:08:47.738368,,,,,,,,male,60+
60.0,16:08:48.979891,,,,,,16:09:21.257490,,male,60+
61.0,16:08:50.221913,,,,16:09:39.800128,,,,female,60+
62.0,16:08:52.717484,,,,16:09:46.970231,,,,female,20-39
66.0,16:08:59.751974,16:10:08.829957,,,,,,,male,0-19
67.0,16:09:00.504543,,,,,,,,male,20-39
72.0,16:09:09.345454,16:10:15.385576,,,,,,,male,20-39
77.0,16:09:14.883695,,,,,,16:09:33.669660,16:10:30.288090,male,60+
79.0,16:09:17.452225,,,,,,,,male,20-39
80.0,16:09:18.176810,16:09:49.107008,,,,,,,male,20-39
83.0,16:09:22.794611,,,,,,16:09:49.166973,16:09:41.440426,female,20-39
87.0,16:09:26.049502,16:10:25.997547,,,,,,,female,60+
95.0,16:09:37.392506,16:10:22.580504,,,,,,,female,60+
96.0,16:09:42.320922,,,,,,,,female,60+
101.0,16:09:50.563772,,,,,,16:10:22.315654,,male,60+
103.0,16:09:53.020588,16:10:29.851340,,,,,,,male,60+
104.0,16:09:55.210207,16:10:30.216132,,,,,16:09:55.323019,,male,60+
105.0,16:09:57.466792,,,,,,,,male,60+
106.0,16:09:58.880982,,,,,,,,female,60+
110.0,16:10:03.592624,,16:10:04.343195,16:10:21.065370,,,,,male,60+
111.0,16:10:04.190282,,16:10:08.910894,,,,,,male,60+
113.0,16:10:07.137595,,16:10:07.639626,,,,,,male,60+
114.0,16:10:09.797985,,,,,,,,female,20-39
115.0,16:10:10.525569,,,,,,,,male,40-59
125.0,16:10:31.183578,,,,,,,,female,60+
