person_id,entry_time,exit_time,section_A_in,section_A_out,A_time,total_time
,,,,,,
1,18:10:13,,,,0,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
2,18:10:13,18:12:21,18:10:15,18:10:24,0:00:10,0:02:08
3,18:10:13,18:11:10,,,0:00:00,0:00:57
4,18:10:13,18:33:12,,,0:00:00,0:22:59
5,18:10:13,,,,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
6,18:10:13,,,,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
7,18:10:13,18:13:45,,,0:00:00,0:03:32
8,18:10:13,18:11:10,,,0:00:00,0:00:57
11,18:10:17,,,,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
13,18:10:48,18:13:45,18:10:49,18:12:11,0:01:22,0:02:57
16,18:11:06,18:14:45,,,0:00:00,0:03:39
17,18:11:06,18:13:45,18:11:20,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:02:39
19,18:11:12,18:12:11,,,0:00:00,0:00:59
21,18:11:23,18:16:02,,,0:00:00,0:04:39
23,18:12:15,18:17:36,,,0:00:00,0:05:21
24,18:13:44,18:13:45,,,0:00:00,0:00:01
25,18:14:14,18:18:45,,,0:00:00,0:04:31
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
